stop_name,zone_id,stop_id,stop_lat,stop_lon
Prashanth Nagara,21587,21587,12.97551,77.53118
Prashanth Nagara,22405,22405,12.97562,77.53124
Prashanth Nagara,34281,34281,12.9762,77.531
Prashanthi Kuteera Main Gate,39857,39857,12.75744,77.62645
Prashanthnagara,27748,27748,12.97623,77.5308
Pratyangira Temple Turahalli,27750,27750,12.89254,77.53659
Pratyangira Temple Turahalli,34282,34282,12.89259,77.53668
Premium Farm Mandur,27752,27752,13.0792,77.73702
Premium Farm Mandur,34283,34283,13.07918,77.73698
Presidency University,39517,39517,13.17207,77.53577
Presidency University,39518,39518,13.17208,77.53569
Press Layout,21104,21104,12.95032,77.49119
Press Layout,21105,21105,12.9509,77.4918
Prestige Jade Pavilion Apartment,39895,39895,12.92129,77.69556
Prestige Jade Pavilion Apartment,39896,39896,12.92122,77.6955
Prestige Primrose Hills,39609,39609,12.868,77.52301
Prestige Primrose Hills,39610,39610,12.86802,77.52307
Prestige Shantiniketana /Manipal Hospital,37982,37982,12.98916,77.72667
Prestige Shantiniketana /Manipal Hospital,37983,37983,12.98872,77.72844
Priyadarshini Layout,21588,21588,12.97128,77.52681
Priyadarshini Layout,27756,27756,12.97112,77.52676
Priyanka Nagar Cross,38676,38676,13.0167,77.72025
Priyanka Nagar Cross,38677,38677,13.01667,77.72019
Provident Sunworth Apartment,34285,34285,12.8811,77.47147
Pujaganapalya,27760,27760,12.75131,77.60961
Pujaganapalya,34286,34286,12.75134,77.60966
Pujanahalli Gate,27764,27764,13.21703,77.65068
Pujanahalli Gate,34288,34288,13.21702,77.65078
Puneethrajakumar Circle,36756,36756,13.03997,77.65462
Puneethrajakumar Circle,36757,36757,13.03994,77.65461
Punugumaranahalli,27766,27766,12.91665,77.40336
Punugumaranahalli,34289,34289,12.91667,77.40344
Punugumaranahalli Cross,27768,27768,12.92897,77.39995
Punugumaranahalli Cross,34290,34290,12.929,77.40002
Pura,27770,27770,12.94028,77.88498
Pura,34291,34291,12.94025,77.88498
Puradapalya Cross,27773,27773,12.94694,77.3811
Puradapalya Cross,34292,34292,12.94698,77.38118
Purushanahalli,27775,27775,13.23742,77.39249
Purushanahalli,34293,34293,13.23747,77.3925
Purvankara Northern Destiny Bellahalli,27778,27778,13.09583,77.63587
Purvankara Northern Destiny Bellahalli,34294,34294,13.09606,77.63604
Pushpanjali Talkies,27780,27780,12.99136,77.54616
Puttaiahnapalya,27784,27784,12.95669,77.41065
Puttaiahnapalya,34297,34297,12.95665,77.41061
Puttaiahnapalya Cross,27786,27786,12.95984,77.40676
Puttaiahnapalya Cross,34298,34298,12.95985,77.40682
Puttanna Badavane,39228,39228,13.09966,77.70782
Puttanna Badavane,39229,39229,13.09961,77.70787
Puttenahalli,27790,27790,13.20889,77.42652
Puttenahalli,34299,34299,13.10995,77.58022
Puttenahalli,34300,34300,13.11016,77.58024
Puttenahalli,34301,34301,13.20894,77.42657
Puttenahalli,35349,35349,12.89819,77.58253
Puttenahalli,38505,38505,12.89685,77.58588
Puttenahalli,38511,38511,12.89688,77.58613
Puttenahallipalya,27792,27792,12.89562,77.58173
QFB Hotel,38694,38694,13.14822,77.71096
R T Nagara Post Office,23344,23344,13.02197,77.59251
R V Dental College,23450,23450,12.90988,77.58579
R V Dental College,37837,37837,12.91046,77.58547
R V Metro Station,38586,38586,12.92179,77.58018
R V Metro Station,38587,38587,12.92178,77.5803
R V Teachers College,22433,22433,12.94429,77.5801
R V Teachers College,22434,22434,12.94446,77.5799
RANGASTALA RANGANATHA TEMPLE,38886,38886,13.45512,77.70219
RBANMS College,28010,28010,12.98074,77.61586
RBANMS College,35356,35356,12.98087,77.61453
RBANMS PU College,28012,28012,12.98273,77.61582
RBI Layout,23453,23453,12.88806,77.58198
RBI Layout,23473,23473,12.88801,77.5819
RBI Layout,38513,38513,12.89004,77.58191
RBI Quarters Ulsoor,38783,38783,12.98315,77.61622
RC College,22699,22699,12.98416,77.58696
RC College,24241,24241,12.98398,77.58679
RH Farm,28028,28028,13.26714,77.49761
RH Farm,34418,34418,13.26712,77.49765
RINAC Factory Marenahalli,21595,21595,12.97478,77.36582
RINAC Factory Marenahalli,21596,21596,12.97476,77.36603
RK Apartment,28031,28031,13.01459,77.66526
RK Apartment,34419,34419,13.01465,77.66531
RK Farm,23838,23838,12.75921,77.70372
RK Farm,23980,23980,12.75913,77.70372
RK Hegde Nagara,22429,22429,13.07158,77.63362
RK Hegde Nagara,22430,22430,13.0719,77.63376
RK Medical,28033,28033,13.02255,77.65781
RK Medical,34420,34420,13.02331,77.65832
RK Township,28035,28035,12.80608,77.6701
RK Township,34421,34421,12.80601,77.67014
RL Jalappa Campus,28037,28037,13.30056,77.52438
RL Jalappa Campus,34422,34422,13.30053,77.5244
RM Guttahalli,21129,21129,13.00009,77.58425
RM Guttahalli,21130,21130,12.99977,77.58392
RM Guttahalli Post Office,28039,28039,12.9992,77.58204
RM Guttahalli Uner Pass,39439,39439,12.99783,77.58455
RM Guttahalli Uner Pass,39440,39440,12.9977,77.58459
RMC Yard (Yeshawanthapura New Railway Station),21131,21131,13.02366,77.54877
RMC Yard (Yeshawanthapura New Railway Station),21132,21132,13.02462,77.54776
RMG Factory,28041,28041,13.07607,77.51722
RMG Factory,34423,34423,13.07604,77.51718
RMS Sanjayanagara,21133,21133,13.03784,77.57427
RMS Sanjayanagara,21134,21134,13.03778,77.57424
RMV 2nd Stage,21135,21135,13.04245,77.5801
RMV 2nd Stage,28045,28045,13.04264,77.56664
RMV 2nd Stage,34425,34425,13.04264,77.56658
RMV 2nd Stage,35256,35256,13.04247,77.58006
RR Medical College,21142,21142,12.89633,77.46058
RR Medical College,35390,35390,12.89614,77.46087
RR Medical College,35812,35812,12.8969,77.46185
RR Nagara Petrol Bunk,27673,27673,12.93275,77.51626
RR Nagara Petrol Bunk,34246,34246,12.93281,77.51614
RR School,28066,28066,12.92776,77.51413
RR School,34434,34434,12.92778,77.51404
RR Temple,28068,28068,12.92681,77.51112
RR Temple,34435,34435,12.92677,77.51103
RT Nagara Police Station,21096,21096,13.02566,77.59301
RT Nagara Police Station,21097,21097,13.02495,77.59321
RT Nagara Police Station,23786,23786,13.02424,77.59288
RT Nagara Police Station,35795,35795,13.02496,77.59282
RTN Post Office,23787,23787,13.02201,77.59257
RTO Office Chikkaballapura,37998,37998,13.38317,77.72626
RTO Office Chikkaballapura,37999,37999,13.38321,77.7263
RTO Office Vishweshwaraiah Layout,28072,28072,12.9613,77.4868
RTO Office Vishweshwaraiah Layout,34437,34437,12.96133,77.48685
RTO Office Yelahanka,28074,28074,13.15117,77.55614
RTO Office Yelahanka,34438,34438,13.15113,77.55618
RV College,21146,21146,12.92529,77.49918
RV College,35391,35391,12.92521,77.49936
RV Dental College,24042,24042,12.91137,77.5857
RWB Gate Kengeri (Kengeri Work shop),28081,28081,12.904,77.4757
RWB Gate Kengeri (Kengeri Work shop),35377,35377,12.90405,77.47574
Rachammanahalli,34303,34303,12.72289,77.73924
Rachenahalli,27797,27797,13.05879,77.62404
Rachenahalli,34304,34304,13.05878,77.62407
Rachenahalli Cross,27799,27799,13.05913,77.61929
Rachenahalli Cross,34305,34305,13.0591,77.61925
Rachenalli Lake Park Dasarahalli,27801,27801,13.06559,77.60963
Rachenalli Lake Park Dasarahalli,34306,34306,13.06556,77.60961
Radhareddy Layout,23390,23390,12.90883,77.6897
Radhareddy Layout,23392,23392,12.90869,77.68985
Radiant Redwood Apartment Koppa Road,27803,27803,12.85673,77.61073
Radiant Redwood Apartment Koppa Road,34307,34307,12.85676,77.61084
Raghavendra Circle,34308,34308,13.01994,77.6745
Raghavendra Circle,34309,34309,13.01995,77.67441
Raghavendra Colony,34311,34311,12.95773,77.55941
Raghavendra Dhama,27814,27814,13.11473,77.51487
Raghavendra Dhama,34313,34313,13.11463,77.51473
Raghavendra Dhama,34314,34314,13.11472,77.51484
Raghavendra Dhama 1,34834,34834,13.11466,77.51471
Raghavendra Layout,27816,27816,12.99386,77.43858
Raghavendra Layout,34315,34315,12.99388,77.43866
Raghavendra Tent,27807,27807,13.0795,77.78217
Raghavendra Tent,34310,34310,13.07949,77.78212
Raghunathapura Doddaballapura,34316,34316,13.28862,77.57741
Raghunathapura Doddaballapura,34835,34835,13.28869,77.57724
Raghuvanahalli Cross,22408,22408,12.88067,77.54621
Raghuvanahalli Cross,22409,22409,12.88072,77.54602
Ragi Machine,27823,27823,12.89159,77.56034
Ragi Machine,35345,35345,12.89166,77.5603
Ragigudda Temple,21106,21106,12.91678,77.59349
Ragigudda Temple,21107,21107,12.91701,77.59303
Ragihalli,27824,27824,12.73896,77.57426
Ragihalli,35322,35322,12.73881,77.57435
Ragihalli Gate,24079,24079,12.80036,77.59897
Ragihalli Gate,24231,24231,12.80026,77.5989
Rahamathnagara,23343,23343,13.01751,77.5918
Rahamathnagara,23788,23788,13.01755,77.59187
Raheja Arcade Koramangala,27825,27825,12.93524,77.61992
Railway Bridge Babasabarapalya,27826,27826,12.90277,77.46235
Railway Bridge Babasabarapalya 1,31403,31403,12.90275,77.46229
Railway Bridge Byranayakanahalli,27828,27828,13.19663,77.38058
Railway Bridge Byranayakanahalli,34318,34318,13.19662,77.38051
Railway Gate	Rajanukunte,27829,27829,13.25149,77.5539
Railway Gate Bashettihalli,27832,27832,13.25152,77.55379
Railway Gate Gollahalli,27834,27834,13.15049,77.41184
Railway Gate Gollahalli,34320,34320,13.15046,77.4118
Railway Gate Kempapura,27835,27835,12.96902,77.55934
Railway Gate Kodigehalli,23521,23521,13.06169,77.57429
Railway Gate Kodigehalli,24114,24114,13.06187,77.57404
Railway Gate Lakshmisagara,21589,21589,12.82418,77.41136
Railway Gate Lakshmisagara,21590,21590,12.82382,77.41081
Railway Gollahalli,27839,27839,13.14667,77.4174
Railway Gollahalli,34322,34322,13.14686,77.41754
Rainbow Layout,34327,34327,13.10122,77.5393
Raitarasanthe Yelahanka,27854,27854,13.09807,77.59866
Raitarasanthe Yelahanka,34330,34330,13.09749,77.59892
Raj Bhavan,27855,27855,12.98331,77.59229
Raj Bhavan,35302,35302,12.98307,77.59206
Raj Bhavan,38455,38455,12.98437,77.59287
Rajagopala Nagara Police Station,27712,27712,13.02356,77.52182
Rajagopala Nagara Police Station,34264,34264,13.02362,77.52196
Rajagopalanagara,21114,21114,13.01368,77.50881
Rajajinagara 1st Block,35796,35796,13.00476,77.54923
Rajajinagara 2nd Block,22901,22901,12.99607,77.55144
Rajajinagara Entrance,27860,27860,12.98435,77.55723
Rajajinagara Entrance,35263,35263,12.98428,77.55721
Rajajinagara Metro Station,21050,21050,12.99967,77.54976
Rajajinagara Metro Station,34333,34333,12.99983,77.54991
Rajajinagara Old Police Station,21072,21072,12.98928,77.55438
Rajajinagara Old Police Station,24195,24195,12.98992,77.55545
Rajanapalya,27865,27865,12.99033,77.31561
Rajanapalya,34334,34334,12.99012,77.3155
Rajanapalya,34335,34335,12.99027,77.31533
Rajanukunte,27872,27872,13.17246,77.56448
Rajanukunte,34337,34337,13.17167,77.56446
Rajanukunte,34338,34338,13.17307,77.56432
Rajanukunte,34340,34340,13.17288,77.56415
Rajanukunte,38911,38911,13.17494,77.56441
Rajanukunte,38912,38912,13.17498,77.56439
Rajapalya,22410,22410,12.99129,77.72123
Rajapalya,22411,22411,12.99138,77.72084
Rajapura,27874,27874,12.77546,77.67461
Rajapura,34341,34341,12.77551,77.6746
Rajarajeshwari nagara Gate,21140,21140,12.93649,77.51861
Rajarajeshwari nagara Gate,28062,28062,12.9357,77.51834
Rajarajeshwari nagara Gate,35389,35389,12.93631,77.51774
Rajarajeshwari nagara Gate,37654,37654,12.93554,77.51842
Rajarajeshwari nagara Metro Station,35896,35896,12.93689,77.5196
Rajarajeshwari nagara Metro Station,36458,36458,12.93635,77.51948
Rajeshwarinagara,27878,27878,13.04531,77.46131
Rajeshwarinagara,34342,34342,13.04526,77.46132
Rajiv Gandhi,22680,22680,12.98686,77.50424
Rajiv Gandhi,22692,22692,12.98702,77.50431
Rajiv Nagara,27880,27880,13.28367,77.80463
Rajiv Nagara,34343,34343,13.28381,77.80457
Rajkumar Punya Bhoomi,34344,34344,13.01818,77.53163
Rajkumar Punya Bhoomi,34345,34345,13.01859,77.5319
Ram Krishnapura Doddy,27887,27887,12.68715,77.46376
Ram Krishnapura Doddy,34347,34347,12.68719,77.46379
Rama Devasthana Sarjapur,23395,23395,12.85988,77.78933
Rama Devasthana Sarjapur,23419,23419,12.85983,77.78929
Rama Mandira Chamarajapet,21116,21116,12.95703,77.56381
Rama Mandira Chamarajapet,21117,21117,12.957,77.56302
Rama Mandira Rajajinagara,24196,24196,12.98623,77.55636
Ramachandrapura,27892,27892,13.06208,77.55111
Ramachandrapura,34349,34349,13.06208,77.55115
Ramachandrapura Cross,27893,27893,13.05368,77.5509
Ramachandrapura Tent,27895,27895,13.05781,77.5514
Ramachandrapura Tent,34350,34350,13.05786,77.55144
Ramadev Medical Hado siddapur,39605,39605,12.89744,77.7027
Ramadevanahalli,34351,34351,13.19099,77.43302
Ramadevanahalli Cross,27899,27899,13.19465,77.42293
Ramadevanahalli Cross,34352,34352,13.19463,77.42307
Ramagondanahalli,22412,22412,12.95704,77.74039
Ramagondanahalli,22413,22413,12.95695,77.73949
Ramagondanahalli,27901,27901,13.11956,77.55842
Ramagondanahalli,34353,34353,13.11946,77.55849
Ramagovindapuram,27903,27903,13.20924,77.87895
Ramakrishna Ashrama,21118,21118,12.94715,77.56783
Ramakrishna Ashrama,21119,21119,12.94898,77.56765
Ramakrishna Ashrama,23318,23318,12.94822,77.56824
Ramakrishna Ashrama,23728,23728,12.94945,77.56774
Ramakrishna Layout,27904,27904,12.97808,77.51653
Ramakrishna Nagara,27906,27906,13.01763,77.53428
Ramakrishna Nagara,34355,34355,13.01761,77.53422
Ramakrishnapura Circle,27912,27912,12.7801,77.69461
Ramakrishnapura Circle,34358,34358,12.7802,77.69461
Ramakrishnapura Gate,27913,27913,12.77905,77.70195
Ramakrishnapura Gate,35163,35163,12.77904,77.70215
Ramakrishnapura Gate,35250,35250,12.77899,77.70209
Ramalinga Reddy Estate,27915,27915,12.74575,77.74018
Ramalinga Reddy Estate,34359,34359,12.74574,77.74012
Ramamandira,27916,27916,12.99343,77.56781
Ramamurthy Nagara Alada Mara,22414,22414,13.01146,77.67644
Ramamurthy Nagara Alada Mara,22415,22415,13.01139,77.67668
Ramamurthy Nagara Church,22416,22416,13.01177,77.67878
Ramamurthy Nagara Church,22417,22417,13.01169,77.67891
Ramamurthy Nagara Manipal,22418,22418,13.01172,77.67031
Ramamurthy Nagara Manipal,22419,22419,13.01167,77.67034
Ramamurthy Nagara Police Station,22420,22420,13.01206,77.66785
Ramamurthy Nagara Police Station,22421,22421,13.01201,77.66788
Ramanahalli,27922,27922,12.74168,77.40167
Ramanahalli,34361,34361,13.18325,77.74411
Ramanahalli,34362,34362,13.18328,77.74415
Ramanahalli,34363,34363,12.74181,77.40171
Ramanayakana Doddy,27929,27929,12.73821,77.58881
Ramanayakana Doddy,34365,34365,12.73817,77.58884
Ramanayakana Thandya,27927,27927,12.86039,77.38343
Ramanayakana Thandya,34364,34364,12.86041,77.38347
RamanayakanaDoddy Cross,27930,27930,12.74561,77.57576
RamanayakanaDoddy Cross,35321,35321,12.74564,77.57579
Ramanayakanahalli,27932,27932,12.90953,77.75587
Ramanayakanahalli,34366,34366,12.90955,77.75593
Ramanjaneya Layout Chikkallasandra,27933,27933,12.91062,77.54539
Ramanjaneya Layout Cross,27935,27935,12.91464,77.54701
Ramanjaneya Layout Cross,34367,34367,12.91461,77.54702
Ramanjaneya Temple Nandhini Layout,24005,24005,13.02077,77.52924
Ramanjaneya Temple Nandhini Layout,24012,24012,13.02092,77.52921
Ramapura,27937,27937,13.19128,77.7951
Ramapura,34368,34368,13.19129,77.79517
Ramapura Cross,39183,39183,12.83931,77.32756
Ramapura Cross,39184,39184,12.83934,77.32755
Ramasagara,34369,34369,12.82087,77.71873
Ramasagara,34370,34370,12.82086,77.71881
Ramasandra,27944,27944,12.80755,77.61473
Ramasandra,34372,34372,12.9455,77.46797
Ramasandra,35226,35226,12.80759,77.61469
Ramasandra Cross,27946,27946,12.93257,77.46169
Ramasandra Cross,34374,34374,12.93259,77.46163
Ramaswamypalya,22423,22423,13.00964,77.63534
Ramesh Nagara Cross,37770,37770,12.95467,77.67995
Ramesh Nagara Cross,37771,37771,12.95468,77.67999
Rameshnagara,22426,22426,12.96409,77.68217
Rameshnagara,34375,34375,12.96411,77.68213
Ramkrishana Layout,27951,27951,12.97793,77.51647
Ramohalli,27955,27955,12.77405,77.77113
Ramohalli,34376,34376,12.90737,77.41812
Ramohalli,34377,34377,12.90731,77.41816
Ramohalli,34378,34378,12.77436,77.77124
Ramohalli Cross,27956,27956,12.88701,77.45112
Ramohalli Cross,35388,35388,12.88674,77.45125
Rampura,27965,27965,13.01741,77.35077
Rampura,34379,34379,13.05175,77.69124
Rampura,34380,34380,13.05158,77.69135
Rampura,34381,34381,12.89027,77.3988
Rampura,34382,34382,12.89029,77.3988
Rampura,34383,34383,12.84127,77.32765
Rampura,34385,34385,13.0174,77.35093
Rampura,36292,36292,12.94285,77.94126
Rampura Cross,27968,27968,13.05212,77.68101
Rampura Cross,34386,34386,13.05191,77.68109
Rampura Cross,34387,34387,13.05194,77.68091
Ranga Jangama,27971,27971,12.85578,77.45274
Ranga Jangama,34388,34388,12.85562,77.45281
Ranga Jangama,34389,34389,12.85579,77.45278
Rangaiahnapalya,27973,27973,12.99188,77.2676
Rangaiahnapalya,34390,34390,12.99199,77.26759
Ranganathpura,27975,27975,12.95115,77.24165
Ranganathpura,34391,34391,12.95104,77.24187
Rangappa Circle,27977,27977,13.28753,77.54399
Rangappa Circle,34392,34392,13.2874,77.5439
Rangappanapalya Gate,27979,27979,12.99273,77.34936
Rangappanapalya Gate,34393,34393,12.99279,77.34948
Rangenahalli,27983,27983,13.11319,77.28478
Rangenahalli,34395,34395,13.11315,77.28473
Rangenahalli Colony,27985,27985,13.11301,77.2865
Rangenahalli Colony,34396,34396,13.11298,77.28652
Rani Circle,27989,27989,13.26859,77.71978
Rani Circle,34397,34397,13.26784,77.71942
Rani Circle,34398,34398,13.26728,77.7198
Rani Circle,34399,34399,13.2674,77.71954
Rani Saraladevi High School,21592,21592,12.93767,77.585
Rani Saraladevi High School,21593,21593,12.93879,77.58522
Rashi Gateway,38792,38792,13.11118,77.36989
Rashi Gateway Cross,38790,38790,13.11016,77.37806
Rashi Gateway Cross,38791,38791,13.11034,77.37765
Ravagodlu,23554,23554,12.74817,77.50112
Ravagodlu,23748,23748,12.74814,77.50117
Ravagodlu Gate,23553,23553,12.74897,77.4865
Ravagodlu Gate,23606,23606,12.74895,77.48633
Ravi Badavane Jai Maruthi Nagara,27990,27990,13.00673,77.5323
Ravi Tent,34400,34400,12.95166,77.62138
Ravi Tent,35059,35059,12.95169,77.62148
Ravindra Nagara,27994,27994,13.04995,77.51654
Ravindra Nagara,34401,34401,13.04995,77.51634
Ravuthanahalli,27996,27996,13.02676,77.42388
Ravuthanahalli,34402,34402,13.02673,77.42384
Ravuthanahalli Cross,34403,34403,13.0734,77.43899
Ravuthanahalli Cross,38537,38537,13.07334,77.43938
Ravuthanahalli Cross,38538,38538,13.07362,77.43959
Rayal Layout,36538,36538,12.86928,77.57587
Rayan Circle,21123,21123,12.96047,77.5679
Rayan Circle,21124,21124,12.96136,77.56889
Rayan International School,23780,23780,12.81956,77.58481
Rayan International School,24132,24132,12.81953,77.58471
Rayara Doddy,28000,28000,12.76694,77.51327
Rayara Doddy,34404,34404,12.76715,77.51368
Rayasandra,28003,28003,12.87934,77.67212
Rayasandra,34405,34405,13.21882,77.7256
Rayasandra,34406,34406,13.21876,77.72563
Rayasandra,35371,35371,12.87942,77.67203
Rayasandra Circle,28004,28004,12.87569,77.67126
Rayasandra Circle,35372,35372,12.8757,77.67112
Rayasandra Cross,24425,24425,13.21176,77.74142
Rayasandra Cross,28005,28005,13.21175,77.74139
Rayasandra Gate,28007,28007,13.23358,77.72709
Rayasandra Gate,34407,34407,13.23351,77.72712
Razakpalya,28009,28009,13.14594,77.65823
Razakpalya,34408,34408,13.14592,77.65818
Razakpalya Cross,38891,38891,13.14965,77.65882
Razakpalya Cross,38892,38892,13.14968,77.65884
Reddyhalli,34411,34411,13.18957,77.75477
Reddyhalli,34412,34412,13.18941,77.7545
Reliance Petrol Bunk Goraguntepalya,24002,24002,13.02866,77.5363
Reliance Petrol Bunk Goraguntepalya,24015,24015,13.02861,77.53612
Renaissance prosperio apartment,36787,36787,13.06426,77.59362
Renuka Nagara,28021,28021,13.10569,77.38815
